 Date  EpochDay  Avg_Irradiance_New  Avg_Irradiance_Old
 791123   -37.50  1361.4401  1366.5229
 791124   -36.50  1361.3536  1366.4360
 791125   -35.50  1361.7330  1366.8169
 791126   -34.50   -98.6318   -99.0000
 791127   -33.50  1361.9365  1367.0211
 791128   -32.50  1361.9590  1367.0437
 791129   -31.50  1362.0112  1367.0961
 791130   -30.50   -98.6318   -99.0000
 791201   -29.50  1361.6097  1366.6931
 791202   -28.50  1361.6718  1366.7554
 791203   -27.50  1361.5059  1366.5889
 791204   -26.50   -98.6318   -99.0000
 791205   -25.50  1361.3128  1366.3950
 791206   -24.50   -98.6318   -99.0000
 791207   -23.50  1361.9428  1367.0275
 791208   -22.50   -98.6318   -99.0000
 791209   -21.50  1361.9087  1366.9932
 791210   -20.50  1362.1494  1367.2348
 791211   -19.50  1362.1323  1367.2177
 791212   -18.50   -98.6318   -99.0000
 791213   -17.50  1362.2072  1367.2928
 791214   -16.50  1362.1999  1367.2855
 791215   -15.50  1362.2125  1367.2981
 791216   -14.50   -98.6318   -99.0000
 791217   -13.50  1361.7715  1366.8555
 791218   -12.50   -98.6318   -99.0000
 791219   -11.50  1361.8557  1366.9400
 791220   -10.50   -98.6318   -99.0000
 791221    -9.50  1361.3448  1366.4272
 791222    -8.50  1361.3770  1366.4595
 791223    -7.50  1361.3298  1366.4122
 791224    -6.50   -98.6318   -99.0000
 791225    -5.50  1361.3741  1366.4566
 791226    -4.50  1361.8426  1366.9269
 791227    -3.50  1361.8845  1366.9689
 791228    -2.50   -98.6318   -99.0000
 791229    -1.50  1361.6115  1366.6949
 791230    -0.50  1361.8223  1366.9064
 791231     0.50  1362.0031  1367.0879
 800101     1.50   -98.6318   -99.0000
 800102     2.50  1361.6015  1366.6848
 800103     3.50  1361.5940  1366.6774
 800104     4.50  1361.6559  1366.7395
 800105     5.50   -98.6318   -99.0000
 800106     6.50  1361.4130  1366.4957
 800107     7.50  1361.1280  1366.2096
 800108     8.50  1361.0709  1366.1523
 800109     9.50   -98.6318   -99.0000
 800110    10.50  1361.0560  1366.1373
 800111    11.50  1361.4452  1366.5279
 800112    12.50  1361.7649  1366.8489
 800113    13.50   -98.6318   -99.0000
 800114    14.50  1361.9680  1367.0527
 800115    15.50  1362.1191  1367.2044
 800116    16.50  1361.9131  1366.9976
 800117    17.50   -98.6318   -99.0000
 800118    18.50  1361.4515  1366.5343
 800119    19.50  1361.5727  1366.6560
 800120    20.50  1361.5551  1366.6382
 800121    21.50   -98.6318   -99.0000
 800122    22.50  1361.0437  1366.1249
 800123    23.50  1361.1054  1366.1869
 800124    24.50  1361.6133  1366.6967
 800125    25.50   -98.6318   -99.0000
 800126    26.50  1361.6275  1366.7110
 800127    27.50  1361.8478  1366.9321
 800128    28.50  1361.9888  1367.0736
 800129    29.50   -98.6318   -99.0000
 800130    30.50  1361.5865  1366.6698
 800131    31.50  1361.3706  1366.4531
 800201    32.50  1361.1349  1366.2165
 800202    33.50   -98.6318   -99.0000
 800203    34.50  1360.4452  1365.5242
 800204    35.50  1360.6457  1365.7255
 800205    36.50  1360.9157  1365.9965
 800206    37.50   -98.6318   -99.0000
 800207    38.50  1360.6821  1365.7620
 800208    39.50  1360.7536  1365.8338
 800209    40.50  1360.9739  1366.0549
 800210    41.50   -98.6318   -99.0000
 800211    42.50  1360.9781  1366.0591
 800212    43.50  1361.1885  1366.2703
 800213    44.50  1361.2699  1366.3520
 800214    45.50   -98.6318   -99.0000
 800215    46.50  1360.9369  1366.0178
 800216    47.50  1360.8101  1365.8905
 800217    48.50  1361.0303  1366.1115
 800218    49.50   -98.6318   -99.0000
 800219    50.50  1361.1732  1366.2550
 800220    51.50  1361.3735  1366.4560
 800221    52.50  1361.8714  1366.9558
 800222    53.50   -98.6318   -99.0000
 800223    54.50  1361.3001  1366.3823
 800224    55.50  1361.4608  1366.5436
 800225    56.50  1361.5122  1366.5952
 800226    57.50   -98.6318   -99.0000
 800227    58.50  1361.6847  1366.7684
 800228    59.50  1362.1131  1367.1984
 800229    60.50  1362.1251  1367.2104
 800301    61.50   -98.6318   -99.0000
 800302    62.50  1361.7820  1366.8660
 800303    63.50  1362.0617  1367.1468
 800304    64.50  1362.0339  1367.1189
 800305    65.50   -98.6318   -99.0000
 800306    66.50  1361.7862  1366.8703
 800307    67.50  1361.7814  1366.8654
 800308    68.50  1361.7492  1366.8331
 800309    69.50  1361.5745  1366.6577
 800310    70.50  1361.7895  1366.8736
 800311    71.50  1361.7396  1366.8235
 800312    72.50  1361.9322  1367.0168
 800313    73.50  1361.8746  1366.9589
 800314    74.50  1361.9418  1367.0264
 800315    75.50  1361.7707  1366.8547
 800316    76.50  1361.8854  1366.9698
 800317    77.50  1361.9489  1367.0336
 800318    78.50  1362.0058  1367.0906
 800319    79.50  1361.9884  1367.0732
 800320    80.50  1361.9416  1367.0262
 800321    81.50  1361.7318  1366.8156
 800322    82.50  1361.7979  1366.8820
 800323    83.50  1361.8117  1366.8958
 800324    84.50  1361.7701  1366.8540
 800325    85.50  1362.1229  1367.2082
 800326    86.50  1362.1716  1367.2571
 800327    87.50  1362.1869  1367.2724
 800328    88.50  1362.1169  1367.2022
 800329    89.50  1361.9803  1367.0650
 800330    90.50  1361.6736  1366.7573
 800331    91.50  1361.5052  1366.5882
 800401    92.50  1361.6860  1366.7696
 800402    93.50  1361.7472  1366.8311
 800403    94.50  1361.7973  1366.8813
 800404    95.50  1361.6842  1366.7679
 800405    96.50  1361.2498  1366.3319
 800406    97.50  1360.4753  1365.5545
 800407    98.50  1359.7468  1364.8232
 800408    99.50  1359.4154  1364.4906
 800409   100.50  1359.6115  1364.6874
 800410   101.50  1359.9192  1364.9963
 800411   102.50   -98.6318   -99.0000
 800412   103.50  1360.2676  1365.3459
 800413   104.50  1360.6016  1365.6812
 800414   105.50  1360.8162  1365.8966
 800415   106.50  1361.2287  1366.3107
 800416   107.50  1361.5984  1366.6818
 800417   108.50  1362.0417  1367.1267
 800418   109.50  1362.2462  1367.3319
 800419   110.50  1362.3742  1367.4605
 800420   111.50  1362.2925  1367.3784
 800421   112.50  1361.9073  1366.9918
 800422   113.50  1361.5101  1366.5931
